name,v_nom,x,y,v_mag_pu_set,control,generator,sub_network,psse_name,station,psse_type,area,zone,jurisdiction,v_ang_psse
1021,110.0,,,1.03004,PQ,,0,ARDNACRUSHA,ARDNACRUSHA,1.0,4.0,4.0,IE,4.1586
1041,110.0,,,1.01103,PQ,,0,AGHADA,AGHADA,1.0,10.0,10.0,IE,14.6099
1042,220.0,,,1.0,PQ,,0,AGHADA,AGHADA,1.0,10.0,10.0,IE,18.0255
1052,220.0,,,1.0,PQ,,0,AGHADA_B,AGHADA_B,1.0,10.0,10.0,IE,18.0255
1061,110.0,,,1.05564,PQ,,0,ARIGNA,ARIGNA,1.0,1.0,1.0,IE,-4.4872
1062,220.0,,,1.0,PQ,,0,AGH_AT14,AGH_AT14,1.0,10.0,10.0,IE,18.0255
1071,110.0,,,1.04139,PQ,,0,AGANNYGAL,AGANNYGAL,1.0,4.0,4.0,IE,1.5194
1072,220.0,,,1.00001,PQ,,0,AGHT2102,AGHT2102,1.0,10.0,10.0,IE,18.0084
1081,110.0,,,1.02865,PQ,,0,AHANE,AHANE,1.0,8.0,8.0,IE,5.0071
1091,110.0,,,1.02051,PQ,,0,ADAMSTOWN,ADAMSTOWN,1.0,11.0,11.0,IE,-6.9464
1101,110.0,,,1.0002,PQ,,0,ANNER,ANNER,1.0,8.0,8.0,IE,4.8374
1121,110.0,,,1.01992,PQ,,0,ARKLOW,ARKLOW,1.0,9.0,9.0,IE,-0.9849
1122,220.0,,,1.00706,PQ,,0,ARKLOW,ARKLOW,1.0,9.0,9.0,IE,0.1655
1131,110.0,,,1.04786,PQ,,0,ATHEA,ATHEA,1.0,5.0,5.0,IE,7.906
1141,110.0,,,1.04332,PQ,,0,ATHLONE,ATHLONE,1.0,3.0,3.0,IE,-2.1101
1161,110.0,,,1.00786,PQ,,0,AUGHINISH,AUGHINISH,1.0,5.0,5.0,IE,3.8689
1181,110.0,,,1.05468,PQ,,0,ARVA,ARVA,1.0,7.0,7.0,IE,-7.1141
1201,110.0,,,1.02571,PQ,,0,ARTANE,ARTANE,1.0,11.0,11.0,IE,-6.0584
1211,110.0,,,1.06908,PQ,,0,BALLYVOUSKIL,BALLYVOUSKIL,1.0,5.0,5.0,IE,10.705
1212,220.0,,,1.04834,PQ,,0,BALLYVOUSKIL,BALLYVOUSKIL,1.0,5.0,5.0,IE,10.7234
1221,110.0,,,1.03319,PQ,,0,ATHY,ATHY,1.0,11.0,11.0,IE,-1.9604
1231,110.0,,,1.02154,PQ,,0,BALLYWATER,BALLYWATER,1.0,9.0,9.0,IE,2.1261
1251,110.0,,,1.04486,PQ,,0,BOOLTIAGH,BOOLTIAGH,1.0,4.0,4.0,IE,4.6069
1271,110.0,,,1.02149,PQ,,0,BALTRASNA,BALTRASNA,1.0,7.0,7.0,IE,-7.5787
1281,110.0,,,1.02953,PQ,,0,BALLYLICKEY,BALLYLICKEY,1.0,6.0,6.0,IE,10.5923
1301,110.0,,,1.01593,PQ,,0,BALLYBEG,BALLYBEG,1.0,9.0,9.0,IE,-2.3937
1311,110.0,,,1.07543,PQ,,0,CORDAL,CORDAL,1.0,5.0,5.0,IE,9.8549
1321,110.0,,,1.02502,PQ,,0,BLAKE,BLAKE,1.0,11.0,11.0,IE,-6.015
1331,110.0,,,1.02594,PQ,,0,BLUNDELSTOWN,BLUNDELSTOWN,1.0,11.0,11.0,IE,-7.3062
1341,110.0,,,1.08137,PQ,,0,BINBANE,BINBANE,1.0,1.0,1.0,IE,-9.7823
1351,110.0,,,1.02769,PQ,,0,BARODA,BARODA,1.0,11.0,11.0,IE,-5.8071
1361,110.0,,,1.0012,PQ,,0,BALLYDINE,BALLYDINE,1.0,8.0,8.0,IE,5.3363
1371,110.0,,,1.01418,PQ,,0,BARNAGEERAGH,BARNAGEERAGH,1.0,11.0,11.0,IE,-7.6259
1381,110.0,,,1.0115,PQ,,0,BARNAHELY,BARNAHELY,1.0,10.0,10.0,IE,13.932
1401,110.0,,,1.07272,PQ,,0,BELLACORICK,BELLACORICK,1.0,2.0,2.0,IE,1.7699
1411,110.0,,,1.02228,PQ,,0,AIRTON,AIRTON,1.0,11.0,11.0,IE,-6.2253
1421,110.0,,,1.03275,PQ,,0,BLACKROCK,BLACKROCK,1.0,11.0,11.0,IE,-6.2769
1431,110.0,,,1.02286,PQ,,0,BALLYRAGGET,BALLYRAGGET,1.0,9.0,9.0,IE,1.6262
1441,110.0,,,1.01534,PQ,,0,BANDON,BANDON,1.0,6.0,6.0,IE,11.9079
1451,110.0,,,1.01423,PQ,,0,CLOGHRAN,CLOGHRAN,1.0,11.0,11.0,IE,-7.6177
