station,machines,machines_in_service,capacity_mw,dispatched_mw,demand_mw,net_mw
Clogher,6,5,158.25,15.524999999999999,0.0,15.524999999999999
Croaghonagh,2,2,139.2,13.919999999999998,0.0,13.919999999999998
Cathaleen's Fall,6,6,120.5,70.5,19.14,51.36
Binbane,18,17,93.6,8.931000000000001,21.02,-12.088999999999999
Letterkenny,8,8,90.77000000000001,9.077,74.24,-65.163
Drumkeen,3,3,84.96,8.496,0.0,8.496
Corderry,12,12,79.60300000000001,7.961,0.0,7.961
Sorne Hill,10,10,63.24999999999999,6.325,0.0,6.325
Trillick,6,6,44.69,4.468999999999999,22.55,-18.081000000000003
Tievebrack,1,1,29.9,2.99,0.0,2.99
Ardnagappary,3,3,22.94,2.294,10.86,-8.565999999999999
Sligo,3,3,17.73,1.7730000000000001,60.88,-59.107
Corraclassy,0,0,0.0,0.0,0.0,0.0
Srananagh 220,0,0,0.0,0.0,0.0,0.0
Srananagh 110,0,0,0.0,0.0,0.0,0.0
